N,P,K,temperature,humidity,ph,rainfall,label
84.97,46.64,44.93,26.17,86.62,6.25,284.22,Rice
87.67,44.57,44.53,22.69,85.75,6.45,153.25,Rice
62.75,43.99,38.7,24.05,84.09,5.75,279.96,Rice
77.74,47.92,37.16,22.55,87.92,5.86,239.09,Rice
73.99,45.68,40.24,26.74,87.45,5.9,255.85,Rice
67.79,48.81,35.15,21.18,88.24,6.66,231.43,Rice
78.84,45.62,36.96,22.24,85.77,6.8,237.89,Rice
62.37,49.53,41.06,22.32,89.79,6.79,259.92,Rice
71.61,45.57,43.74,25.21,85.7,6.27,183.51,Rice
68.04,52.58,47.59,23.37,91.26,6.5,200.81,Rice
83.61,57.11,42.37,26.24,77.68,6.7,228.26,Rice
77.01,48.07,35.05,23.12,88.84,6.98,205.56,Rice
71.92,44.36,45.93,24.08,85.51,6.57,228.64,Rice
89.69,43.11,41.27,22.81,82.01,6.48,234.79,Rice
80.05,46.03,37.19,22.76,86.21,6.01,218.95,Rice
84.04,59.29,43.15,23.95,87.22,5.53,224.01,Rice
80.6,62.9,41.78,24.03,87.37,5.85,267.86,Rice
87.52,52.44,39.09,25.95,82.24,6.6,307.14,Rice
70.09,43.96,42.87,22.62,81.69,6.38,185.16,Rice
84.74,41.75,48.31,22.13,86.29,6.7,178.84,Rice
82.27,55.67,36.47,23.82,88.47,6.68,178.61,Rice
66.8,50.76,43.61,23.94,88.8,6.06,233.71,Rice
82.93,43.04,49.5,24.33,83.03,6.63,188.45,Rice
87.87,54.74,39.42,25.19,89.05,6.7,296.13,Rice
77.55,42.79,39.16,22.07,87.21,6.49,235.38,Rice
88.27,47.58,47.95,23.04,97.7,6.62,192.86,Rice
69.29,50.52,41.66,24.75,89.27,6.32,193.25,Rice
64.85,44.71,45.71,23.87,82.83,6.42,239.45,Rice
71.16,48.46,42.72,21.5,88.84,6.59,265.61,Rice
90.54,38.89,38.98,24.4,89.43,6.57,369.48,Rice
85.71,54.6,46.08,24.64,86.32,6.67,196.02,Rice
77.63,44.47,42.81,27.55,80.5,6.64,164.52,Rice
75.28,54.31,42.74,21.61,84.82,6.64,197.61,Rice
